id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1778601779.8528035,1.20976570,0.33806852,0.24385570,-2.01829720,0.17547090,1.36375560
2,1778601779.9033272,2.25860740,0.67369790,1.19757000,-2.56685380,0.98792106,0.55497070
3,1778601779.9529028,1.22976680,0.78980220,0.96828824,-1.70919970,0.63972810,-0.01802051
4,1778601780.0028925,0.96340990,0.67564917,0.79705870,-0.15638138,-1.02304580,0.34483317
5,1778601780.0532005,0.62875617,0.57661900,0.41069470,0.37507100,-0.35964665,0.49021900
6,1778601780.103167,0.42093918,0.56735015,0.24531919,1.18507770,-0.98761564,-0.06322450
7,1778601780.1530454,0.40776768,0.62442666,0.33459267,1.26693360,0.06062833,-0.32589635
8,1778601780.202989,0.81608415,0.74784850,0.51704240,1.91322850,0.10583232,-0.94897840
9,1778601780.2530735,1.31660120,0.67906404,0.93511550,1.83381600,1.19317160,-0.74494960
10,1778601780.303391,1.36001840,0.36831418,0.85901350,2.22232600,0.79488780,-0.79504050
11,1778601780.3532972,1.07658720,0.15171617,0.63753720,2.17956540,0.39049530,-0.18173227
12,1778601780.4032512,0.58338770,0.08537084,0.24580702,1.60413090,0.97692550,0.09926552
13,1778601780.4533012,0.25751500,-0.02439167,0.12433653,1.05435260,0.99280800,0.39003715
14,1778601780.5033193,0.20775603,-0.13756900,0.04823452,1.07267860,0.09239330,0.23365578
15,1778601780.553085,0.13848369,-0.15122834,-0.09811548,0.25045455,0.29153523,0.48288860
16,1778601780.6029296,0.62680480,-0.03122133,0.27800402,-0.03665189,0.08506292,0.80053830
17,1778601780.6528785,1.18391050,0.45173368,0.20531686,-0.87598010,0.62628910,1.32588200
18,1778601780.702931,1.82346000,0.82834107,1.21269270,-0.83199780,0.10094541,1.37597290
19,1778601780.7532747,1.24879230,0.81516950,0.87852687,0.89430606,0.31596980,1.44316800
20,1778601780.8030996,0.98975290,0.75370250,0.47264950,1.78250350,-0.15317434,1.36131220
21,1778601780.8531158,0.74193350,0.60052290,0.40581635,1.66155220,0.50900310,0.90072010
22,1778601780.9032216,0.53606784,0.46441734,0.53606784,2.41658120,0.79244435,0.43279770
23,1778601780.9533236,0.70290690,0.44831884,0.63802505,3.04088500,0.56764610,0.22021675
24,1778601781.0032434,1.05804960,0.50637100,0.96682465,3.63464550,0.93538670,0.04062251
25,1778601781.0531662,1.38441000,0.40295035,0.75754420,3.77758800,0.10705405,-0.31856600
26,1778601781.1029677,1.04829290,0.19220634,0.69997984,2.52775840,1.16751530,-0.81458820
27,1778601781.1532214,0.60290104,0.07268717,0.57509450,1.85702900,1.18461950,-0.33078328
28,1778601781.2028356,0.27702835,-0.07463850,0.41167036,1.48684490,1.40330910,0.14446951
29,1778601781.2528822,0.12580003,-0.21318316,0.20141420,1.62734380,1.00013840,0.53053606
30,1778601781.3030443,0.16433886,-0.20391434,0.07604102,1.28281600,0.42959064,1.18904830
31,1778601781.3528984,0.87169720,0.10683551,0.27410138,0.93584484,0.64705855,1.71317030
32,1778601781.4030087,1.38538580,0.48246717,0.16580236,-0.03543016,1.29091000,1.84023010
33,1778601781.4533002,1.43709600,0.68345450,0.82047470,-0.18081598,0.98914280,1.78891750
34,1778601781.5030704,1.46734170,0.70248000,0.77754540,1.18752110,0.29886560,1.65819240
35,1778601781.5528097,1.01219320,0.66003850,0.48386967,1.68476510,0.59330240,0.98257600
36,1778601781.6028423,0.66973420,0.59466887,0.32483602,2.02684930,0.35139996,0.58307046
37,1778601781.6530612,0.71900535,0.55027600,0.35654520,2.36038160,0.54076800,-0.19761476
38,1778601781.7029226,0.82145040,0.49710217,0.48826018,2.54486270,0.65316720,-0.71196290
39,1778601781.7531495,1.21220480,0.47368616,0.75461715,2.77943470,0.51388997,-0.84390970
40,1778601781.8030012,1.50441710,0.32099435,0.65314790,2.30418200,-0.11285727,-0.97341305
41,1778601781.8532608,1.17659310,0.11903133,0.62143870,1.37444580,0.58597200,-0.86345740
42,1778601781.902824,0.67314905,0.00195133,0.39654753,0.99082270,0.84986560,-0.35643960
43,1778601781.9529321,0.30776188,-0.11854350,0.22629368,0.35430157,1.10398540,0.24709481
44,1778601782.002971,0.20482900,-0.22391550,0.19799936,0.37384924,0.82787450,0.69669130
45,1778601782.0528402,0.22678153,-0.22684251,-0.03518498,0.27733260,0.05329795,0.99479330
46,1778601782.1033854,0.54972720,-0.06976017,0.13311753,-0.77946347,0.69104075,0.98013250
47,1778601782.1530938,1.22635200,0.30977416,0.13604453,-1.14720400,0.42226028,0.95936316
48,1778601782.2035112,1.74833360,0.52051820,0.88682010,-2.93337270,1.07466390,0.71135205
49,1778601782.2531502,1.59954460,0.60588900,1.31757690,-0.89186260,-0.59788390,0.72845626
50,1778601782.3029733,1.30879580,0.75419040,0.45216054,0.21380267,-0.60765773,0.35827220
51,1778601782.3528366,0.77461840,0.69272333,0.24434352,-0.09651663,-0.31199917,-0.17440190
52,1778601782.4029882,0.71998100,0.67077080,0.30776188,0.19303326,-0.34498587,-0.60078550
53,1778601782.4531775,0.68241787,0.63320770,0.31117670,0.54122620,-0.15195261,-1.31671900
54,1778601782.5029516,0.93560340,0.51710330,0.52435990,0.85765415,0.51511174,-1.55006930
55,1778601782.553208,1.08341680,0.35172784,0.66631940,1.39277170,0.23900084,-1.46943520
56,1778601782.6032188,1.27513540,0.26099083,0.61363333,1.13743020,-0.27779076,-0.90133100
57,1778601782.6533048,0.93853040,0.08878566,0.47216170,0.48502663,0.33429575,-0.44073895
58,1778601782.7032006,0.46484417,0.00439050,0.29556602,0.36529714,0.66294100,0.19944735
59,1778601782.753174,0.33166570,-0.07610200,0.09604219,0.39217520,-0.23014331,0.60872674
60,1778601782.8031657,0.27117437,-0.17415650,-0.06250364,-0.02443459,-0.47082403,0.69791300
61,1778601782.853091,0.48435750,-0.17366867,-0.07616298,-0.82833266,-0.77503467,0.69913477
62,1778601782.9031053,0.94682360,0.08341950,0.34434935,-1.47707100,-0.72616553,0.85429440
63,1778601782.952841,1.90687950,0.63564680,0.33264136,-1.56992240,-1.59603690,1.29289530
64,1778601783.0028436,1.60978900,0.74248230,0.51265186,-2.20644350,0.10583232,0.40103272
65,1778601783.0528986,1.10829640,0.67125870,0.86633104,-0.92851450,-0.16783510,0.62583095
66,1778601783.1028953,0.82096255,0.72833520,0.19799936,0.17226386,-0.47326750,0.36804602
