id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1778658636.7661953,0.47890198,-2.7593706,1.5369799,0.0,0.0,0.0
2,1778658636.776197,0.47890198,-2.7593706,1.5369799,0.0,0.0,0.0
3,1778658636.7861984,0.47890198,-2.7593706,1.5369799,0.0,0.0,0.0
4,1778658636.796199,0.47890198,-2.7593706,1.5369799,0.0,0.0,0.0
5,1778658636.8062027,0.47890198,-2.7593706,1.5369799,0.0,0.0,0.0
6,1778658636.8162036,0.47890198,-2.7593706,1.5369799,0.0,0.0,0.0
7,1778658636.8262043,0.47890198,-2.7593706,1.5369799,0.0,0.0,0.0
8,1778658636.8362055,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
9,1778658636.846207,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
10,1778658636.8562095,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
11,1778658636.8662114,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
12,1778658636.8762133,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
13,1778658636.8862145,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
14,1778658636.8962154,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
15,1778658636.906218,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
16,1778658636.91622,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
17,1778658636.9262223,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
18,1778658636.9362237,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
19,1778658636.9462254,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
20,1778658636.9562263,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
21,1778658636.9662278,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
22,1778658636.9762292,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
23,1778658636.9862304,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
24,1778658636.9962318,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
25,1778658637.0062337,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
26,1778658637.0162346,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
27,1778658637.0262365,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
28,1778658637.0362372,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
29,1778658637.046239,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
30,1778658637.0562398,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
31,1778658637.0662408,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
32,1778658637.0762417,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
33,1778658637.0862436,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
34,1778658637.0962446,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
35,1778658637.1062455,0.53357077,-1.0724471,0.95124316,0.0,0.0,0.0
36,1778658637.1162465,0.56481004,-0.99044466,0.8965744,0.0,0.0,0.0
37,1778658637.1262474,0.56481004,-0.99044466,0.8965744,0.0,0.0,0.0
38,1778658637.1362484,0.56481004,-0.99044466,0.8965744,0.0,0.0,0.0
39,1778658637.146251,0.56481004,-0.99044466,0.8965744,0.0,0.0,0.0
40,1778658637.1562524,0.56481004,-0.99044466,0.8965744,0.0,0.0,0.0
41,1778658637.166255,0.56481004,-0.99044466,0.8965744,0.0,0.0,0.0
42,1778658637.1762564,0.56481004,-0.99044466,0.8965744,0.0,0.0,0.0
43,1778658637.1862578,0.56481004,-0.99044466,0.8965744,0.0,0.0,0.0
44,1778658637.1962602,0.70148116,-0.9670152,0.7364722,0.0,0.0,0.0
45,1778658637.2062614,0.70148116,-0.9670152,0.7364722,0.0,0.0,0.0
46,1778658637.216262,0.70148116,-0.9670152,0.7364722,0.0,0.0,0.0
47,1778658637.2262635,0.70148116,-0.9670152,0.7364722,0.0,0.0,0.0
48,1778658637.2362645,0.70148116,-0.9670152,0.7364722,0.0,0.0,0.0
49,1778658637.2462654,0.70148116,-0.9670152,0.7364722,0.0,0.0,0.0
50,1778658637.256267,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
51,1778658637.266268,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
52,1778658637.276269,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
53,1778658637.2862709,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
54,1778658637.2962732,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
55,1778658637.3062744,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
56,1778658637.3162751,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
57,1778658637.3262763,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
58,1778658637.3362777,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
59,1778658637.3462784,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
60,1778658637.3562803,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
61,1778658637.3662815,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
62,1778658637.3762827,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
63,1778658637.3862839,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
64,1778658637.3962848,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
65,1778658637.4062884,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
66,1778658637.4162896,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
67,1778658637.4262903,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
68,1778658637.436292,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
69,1778658637.4462936,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
70,1778658637.4562948,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
71,1778658637.466296,0.7249107,-1.0451134,0.6778993,0.0,0.0,0.0
